id,sentiment,message
1,engaging,veuillez vous enregister
2,not engaging,A ce jour nous n'avons pas reçu d'adhésion de votre part 
3,engaging,Faites votre demande d'adhésion en ligne en cliquant ici
4,engaging,Nous vous demandons de vous connecter
5,engaging,Connectez-vous à votre compte pour activer
6,engaging,cliquez simplement sur réactivez simplement votre abonnement pour profiter
7,engaging,Nous venons de détecter que votre moyen de paiement n’est plus valide.
8,engaging,Sans nouvelle source de paiement de votre part votre abonnement sera résilié et vous serez facturé
9,not engaging,Lors de votre dernier achat vous avez été averti par un message qui vous informe
10,not engaging,Pour vous inscrire : rendez-vous ici
11,not engaging,Vous la trouverez sur ce site web et vous allez vite comprendre pourquoi elle fascine autant
12,not engaging,Elle dévoile une découverte stupéfiante faite par
13,not engaging,Il y a des femmes et des hommes qui font ça et qui ne le regrettent pas.
14,engaging,vous pouvez vous inscrire en cliquant sur ce lien
15,not engaging,ne manquez pas les 2 sessions dédiées aux applications
16,engaging,Valider ma candidature
17,not engaging,Voici la lettre d’information sur l’actualité de la botanique francophone
18,not engaging,Cette lettre présente une sélection des articles et événements publiés
19,not engaging,Vous pouvez consulter votre échéancier
20,engaging,Merci de bien vouloir répondre à notre enquête
21,engaging,Dépêchez-vous le nombre de lots à gagner est limité!
22,engaging,Réponds maintenant!
23,engaging,Cette enquête vise à améliorer le service à nos utilisateurs.
24,engaging,Pour vous inscrire : rendez-vous ici
25,engaging,Nous vous invitons à répondre à une enquête de satisfaction qui nous permettra de poursuivre notre démarche d’amélioration continue
26,engaging,Nous avons besoin de votre avis
27,not engaging,Nous vous informons que
28,not engaging,Pour consulter le document : Connectez-vous à votre espace personnel à l'aide de vos identifiants
29,not engaging,Vous pouvez à tout moment et facilement consulter et télécharger votre facture en vous rendant sur votre Espace Abonné
30,engaging,Vous pouvez venir le récupérer dès cet après midi
